name,desc
reach_target+0,"reach the red target, touch the red ball with the panda gripper, reach the red sphere"
pick_and_lift+0,"pick up the red block and lift it up to the target, grasp the red block to the target, lift the red block up to the target"
pick_up_cup+0,"pick up the red cup, grasp the red cup and lift it, lift the red cup"
push_button+0,"push the maroon button, push down the maroon button, press the button with the maroon base, press the maroon button"
put_knife_on_chopping_board+0,"put the knife on the chopping board, slide the knife out of the knife block and put it down on the chopping board, place the knife on the chopping board, pick up the knife and leave it on the chopping board, move the knife from the holder to the chopping board"
put_money_in_safe+0,"put the money away in the safe on the bottom shelf, leave the money on the bottom shelf on the safe, place the stack of bank notes on the bottom shelf of the safe"
stack_wine+0,"stack wine bottle, slide the bottle onto the wine rack, put the wine away, leave the wine on the shelf, grasp the bottle and put it away, place the wine bottle on the wine rack"
slide_block_to_target+0,"slide the block to target, slide the block onto the target, push the block until it is sitting on top of the target, slide the block towards the green target, cover the target with the block by pushing the block in its direction"
take_money_out_safe+0,"take the money out of the bottom shelf and place it on the table, take the stack of money out of the first shelf and place it on the table, take one of the stacks of money out of the bottom bit of the safe, take the money off of the first shelf of the safe, grasp the bank notes in the bottom and remove it from the safe, get the money from the first shelf, retrieve the stack of bank notes from the bottom of the safe, locate the money on the bottom shelf, grasp it, remove if from the safe, and set it on the table, put the money on the first shelf down on the table"
take_umbrella_out_of_umbrella_stand+0,"take umbrella out of umbrella stand, grasping the umbrella by its handle, lift it up and out of the stand, remove the umbrella from the stand, retrieve the umbrella from the stand, get the umbrella, lift the umbrella out of the stand"
close_fridge+0,"close fridge, close the fridge, shut the fridge, close the fridge door, swing the fridge door shut"
close_jar_peract+15,"close the azure jar, screw on the azure jar lid, grasping the lid, lift it from the table and use it to seal the azure jar, pick up the lid from the table and put it on the azure jar"
close_jar_peract+16,"close the violet jar, screw on the violet jar lid, grasping the lid, lift it from the table and use it to seal the violet jar, pick up the lid from the table and put it on the violet jar"
close_laptop_lid+0,"close laptop lid, close the laptop, shut the laptop lid"
close_microwave+0,"close microwave, shut the microwave, close the microwave door, push the microwave door shut"
light_bulb_in_peract+17,"screw in the rose light bulb, screw the light bulb from the rose holder into the lamp, pick up the light bulb from the rose stand, lift it up to just above the lamp, then screw it down into the lamp in a clockwise fashion, put the light bulb from the rose casing into the lamp"
light_bulb_in_peract+19,"screw in the white light bulb, screw the light bulb from the white holder into the lamp, pick up the light bulb from the white stand, lift it up to just above the lamp, then screw it down into the lamp in a clockwise fashion, put the light bulb from the white casing into the lamp"
open_box+0,"open box, open the box lid, open the box, grasp the lid and open the box, turn the attached lid to open the box, twist the lid to open the box, pull the lid to open the box"
open_drawer+0,"open bottom drawer, grip the bottom handle and pull the bottom drawer open, slide the bottom drawer open"
open_drawer+1,"open middle drawer, grip the middle handle and pull the middle drawer open, slide the middle drawer open"
open_drawer+2,"open top drawer, grip the top handle and pull the top drawer open, slide the top drawer open"
pick_and_lift+0,"pick up the red block and lift it up to the target, grasp the red block to the target, lift the red block up to the target"
pick_and_lift+2,"pick up the lime block and lift it up to the target, grasp the lime block to the target, lift the lime block up to the target"
pick_and_lift+7,"pick up the cyan block and lift it up to the target, grasp the cyan block to the target, lift the cyan block up to the target"
pick_up_cup+11,"pick up the orange cup, grasp the orange cup and lift it, lift the orange cup"
pick_up_cup+8,"pick up the magenta cup, grasp the magenta cup and lift it, lift the magenta cup"
pick_up_cup+9,"pick up the silver cup, grasp the silver cup and lift it, lift the silver cup"
push_button+0,"push the maroon button, push down the maroon button, press the button with the maroon base, press the maroon button"
push_button+3,"push the navy button, push down the navy button, press the button with the navy base, press the navy button"
push_button+4,"push the yellow button, push down the yellow button, press the button with the yellow base, press the yellow button"
put_groceries_in_cupboard+0,"put the crackers box in the cupboard, pick up the crackers box and place it in the cupboard, move the crackers box to the bottom shelf, put away the crackers box in the cupboard"
put_groceries_in_cupboard+3,"put the soup can in the cupboard, pick up the soup can and place it in the cupboard, move the soup can to the bottom shelf, put away the soup can in the cupboard"
put_groceries_in_cupboard+4,"put the tuna can in the cupboard, pick up the tuna can and place it in the cupboard, move the tuna can to the bottom shelf, put away the tuna can in the cupboard"
put_money_in_safe+0,"put the money away in the safe on the bottom shelf, leave the money on the bottom shelf on the safe, place the stack of bank notes on the bottom shelf of the safe"
put_money_in_safe+1,"put the money away in the safe on the middle shelf, leave the money on the middle shelf on the safe, place the stack of bank notes on the middle shelf of the safe"
reach_and_drag_peract+14,"use the stick to drag the cube onto the teal target, pick up the stick and use it to push or pull the cube onto the teal target, drag the block towards the teal square on the table top, grasping the stick by one end, pick it up and use the its other end to move the block onto the teal target"
reach_and_drag_peract+18,"use the stick to drag the cube onto the black target, pick up the stick and use it to push or pull the cube onto the black target, drag the block towards the black square on the table top, grasping the stick by one end, pick it up and use the its other end to move the block onto the black target"
slide_block_to_color_target_peract+0,"slide the block to green target, slide the block onto the green square, push the block until it is sitting on top of the green target, slide the block towards the green plane, cover the green target with the block by pushing the block in its direction"
slide_block_to_color_target_peract+1,"slide the block to blue target, slide the block onto the blue square, push the block until it is sitting on top of the blue target, slide the block towards the blue plane, cover the blue target with the block by pushing the block in its direction"
stack_blocks+30,"stack 2 gray blocks, place 2 of the gray cubes on top of each other, pick up and set down 2 gray blocks on top of each other, build a tall tower out of 2 gray cubes, arrange 2 gray blocks in a vertical stack on the table top, set 2 gray cubes on top of each other"
stack_blocks+36,"stack 2 olive blocks, place 2 of the olive cubes on top of each other, pick up and set down 2 olive blocks on top of each other, build a tall tower out of 2 olive cubes, arrange 2 olive blocks in a vertical stack on the table top, set 2 olive cubes on top of each other"
stack_blocks+39,"stack 2 purple blocks, place 2 of the purple cubes on top of each other, pick up and set down 2 purple blocks on top of each other, build a tall tower out of 2 purple cubes, arrange 2 purple blocks in a vertical stack on the table top, set 2 purple cubes on top of each other"
